	RealEstateProjectID	HouseID	ProjectName	HouseUseType	FloorName	MeasuredBuildingArea	MeasuredInternalBuildingArea	MeasuredSharedPublicArea	LandUse	TotalBuildingArea	FloorArea	DistrictName	RegionName	Decoration	PropertyRightsDesc	ParkingSpaceAmount	HousingCount	ParkingSpaceAmount.1	ManagementFees	GreeningRate	FloorAreaRatio	ClassifyResult
1062	1095cb01-c351-3e2f-92a8-8d79bdcba4b0	8b3b5a5e-a2dc-3b5e-8fc1-add12b86766d	上城国际	住宅	12	130.33	107.3	23.03	住宅		450628.04	铜山区	北区	无			1863.0					3
1063	541b0f72-7c14-328d-8921-e21257ac7a46	4dce23f3-a5b3-3c70-89ce-e135c494f9aa	紫悦台小区	住宅	29	110.11	84.28	25.83	住宅		74408.0	铜山区	中心区	无								3
1064	040d80b7-a734-316a-bb00-c8404139b723	936034af-aa50-37f6-9f37-9d37aeef0936	鑫苑景城	住宅	28	88.17	66.72	21.45	住宅		359769.0	泉山区	西区	无			764.0					3
1065	9227ef25-825c-31e1-8140-55e189440c0a	e441e04e-bb14-3487-b6dd-6d6701b23b4c	泉盛美家	住宅	15	91.46	68.99	22.47	住宅		667740.0	泉山区	西区	无			7177.0					3
1066	9227ef25-825c-31e1-8140-55e189440c0a	9c658263-a176-3a6c-9f6e-7ce0087b00cb	泉盛美家	住宅	18	101.84	76.78	25.06	住宅		667740.0	泉山区	西区	无			7177.0					3
1067	0f67dba6-f88e-301b-977c-0746e2f57365	cea57577-38b0-390f-8262-0af39795ac94	观澜悦居	住宅	24	133.1	105.7	27.4	住宅		554388.0	铜山区	南区	无			2889.0					3
1068	8c9a1e04-9b2d-3b5a-8f16-041d10360c94	f7a7d214-5e6b-3e8f-86fa-b0e3bf9851ed	滨河绿洲花园	住宅	18	124.04	93.88	30.16	住宅		775683.72	泉山区	南区	无			2706.0					3
1069	1bc74084-5c23-3b44-b5ce-5180ab37adaa	edfe2c3e-e701-3979-b90d-310ac456c5ab	美的时代城	住宅	10	126.88	108.66	18.23	住宅		540457.67	铜山区	南区	无			1401.0					3
1070	8c9a1e04-9b2d-3b5a-8f16-041d10360c94	4c57dcc1-e8d0-3ed5-9a0b-bc7484830571	滨河绿洲花园	住宅	10	123.73	93.43	30.31	住宅		775683.72	泉山区	南区	无			2706.0					3
1071	8c9a1e04-9b2d-3b5a-8f16-041d10360c94	a6760068-6962-3f69-9cd7-f10caf2d8bff	滨河绿洲花园	住宅	18	90.34	68.37	21.97	住宅		775683.72	泉山区	南区	无			2706.0					3
1072	5fb83758-649d-3c6a-992a-54d8de15f005	a1996786-297e-356f-8594-8f8eef4a6bb1	君临华府	住宅	14	105.45	82.7	22.75	住宅		1730864.7	邳州市		无			2536.0					3
1073	9227ef25-825c-31e1-8140-55e189440c0a	8475f317-02c5-3fd7-a102-3c639a318113	泉盛美家	住宅	28	71.06	52.88	18.18	住宅		667740.0	泉山区	西区	无			7177.0					3
1074	1deeb76e-8023-3e1a-aa37-8dc681977744	098573a5-b212-3240-a66b-8cc047b3cb8a	雍福上城三期四期	住宅	16	124.65	97.21	27.44	住宅	510144.0	4699172.6	云龙区	东区	毛坯	待定	3612.0	5796.0	3612个	1.5	30.0	2.2	3
1075	1095cb01-c351-3e2f-92a8-8d79bdcba4b0	8dff1344-28ed-3e78-af79-7cfd4f85b5fa	上城国际	住宅	11	119.04	91.65	27.39	住宅		450628.04	铜山区	北区	无			1863.0					3
1076	f3929bad-0735-363a-b5cd-5a3bd204bc93	38822000-ce22-3236-9155-82ae0407f5a8	高铁东南城（2013-31号地块）	住宅	9	105.73	82.97	22.76	住宅		141531.2	经济开发区	东区	无			772.0					3
1077	9227ef25-825c-31e1-8140-55e189440c0a	aa2df568-95cc-32c0-b157-cb696c19f630	泉盛美家	住宅	34	111.26	83.89	27.38	住宅		667740.0	泉山区	西区	无			7177.0					3
1078	0c6048fa-76b9-3335-995a-fe912b8d251f	326c7382-853d-33c4-a1ca-df59f495e097	泉盛美家	住宅	27	111.26	83.89	27.38	住宅		1775645.08	铜山区	南区	无			5329.0					3
1079	0c6048fa-76b9-3335-995a-fe912b8d251f	ecfdcf52-2de4-3076-bf3f-52808b09c507	泉盛美家	住宅	30	90.45	67.75	22.7	住宅		1775645.08	铜山区	南区	无			5329.0					3
